dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.000000,22.403826,4.656069,9.641341,9.991027,-0.000000,1.570796
0.010000,40.000000,22.500739,4.752981,9.741252,9.991027,0.000000,1.570796
0.010000,40.000000,22.598651,4.850894,9.841162,9.991027,0.000000,1.570796
0.010000,40.000000,22.697562,4.949805,9.941072,9.991027,-0.000000,1.570796
0.010000,40.000000,22.797473,5.049715,10.040982,9.991027,-0.000000,1.570796
0.010000,40.000000,22.898382,5.150624,10.140893,9.991027,0.000000,1.570796
0.010000,40.000000,23.000290,5.252533,10.240803,9.991027,0.000000,1.570796
0.010000,40.000000,23.103198,5.355440,10.340713,9.991027,-0.000000,1.570796
0.010000,40.000000,23.207105,5.459347,10.440624,9.991027,0.000000,1.570796
0.010000,40.000000,23.312010,5.564253,10.540534,9.991027,0.000000,1.570796
0.010000,40.000000,23.417915,5.670158,10.640444,9.991027,-0.000000,1.570796
0.010000,40.000000,23.524819,5.777062,10.740354,9.991027,0.000000,1.570796
0.010000,40.000000,23.632722,5.884965,10.840265,9.991027,-0.000000,1.570796
0.010000,40.000000,23.741625,5.993867,10.940175,9.991027,0.000000,1.570796
0.010000,40.000000,23.851526,6.103768,11.040085,9.991027,-0.000000,1.570796
0.010000,40.000000,23.962426,6.214669,11.139996,9.991027,0.000000,1.570796
0.010000,40.000000,24.074326,6.326568,11.239906,9.991027,0.000000,1.570796
0.010000,40.000000,24.187224,6.439467,11.339816,9.991027,-0.000000,1.570796
0.010000,40.000000,24.301122,6.553365,11.439726,9.991027,0.000000,1.570796
0.010000,40.000000,24.416019,6.668261,11.539637,9.991027,0.000000,1.570796
0.010000,40.000000,24.531915,6.784157,11.639547,9.991027,0.000000,1.570796
0.010000,40.000000,24.648810,6.901052,11.739457,9.991027,-0.000000,1.570796
0.010000,40.000000,24.766704,7.018946,11.839367,9.991027,0.000000,1.570796
0.010000,40.000000,24.885597,7.137840,11.939278,9.991027,0.000000,1.570796
0.010000,40.000000,25.005490,7.257732,12.039188,9.991027,-0.000000,1.570796
0.010000,40.000000,25.126381,7.378623,12.139098,9.991027,0.000000,1.570796
0.010000,40.000000,25.248272,7.500514,12.239009,9.991027,0.000000,1.570796
0.010000,40.000000,25.371161,7.623404,12.338919,9.991027,-0.000000,1.570796
0.010000,40.000000,25.495050,7.747292,12.438829,9.991027,-0.000000,1.570796
0.010000,40.000000,25.619938,7.872180,12.538739,9.991027,0.000000,1.570796
0.010000,40.000000,25.745825,7.998067,12.638650,9.991027,0.000000,1.570796
0.010000,40.000000,25.872711,8.124953,12.738560,9.991027,-0.000000,1.570796
0.010000,40.000000,26.000596,8.252838,12.838470,9.991027,-0.000000,1.570796
0.010000,40.000000,26.129480,8.381723,12.938380,9.991027,0.000000,1.570796
0.010000,40.000000,26.259363,8.511606,13.038291,9.991027,-0.000000,1.570796
0.010000,40.000000,26.390246,8.642488,13.138201,9.991027,0.000000,1.570796
0.010000,40.000000,26.522127,8.774370,13.238111,9.991027,-0.000000,1.570796
0.010000,40.000000,26.655008,8.907251,13.338022,9.991027,0.000000,1.570796
0.010000,40.000000,26.788888,9.041130,13.437932,9.991027,-0.000000,1.570796
0.010000,40.000000,26.923767,9.176009,13.537842,9.991027,0.000000,1.570796
0.010000,40.000000,27.059645,9.311887,13.637752,9.991027,0.000000,1.570796
0.010000,40.000000,27.196522,9.448764,13.737663,9.991027,0.000000,1.570796
0.010000,40.000000,27.334398,9.586641,13.837573,9.991027,0.000000,1.570796
0.010000,40.000000,27.473273,9.725516,13.937483,9.991027,0.000000,1.570796
0.010000,40.000000,27.613148,9.865390,14.037393,9.991027,-0.000000,1.570796
0.010000,40.000000,27.754021,10.006264,14.137304,9.991027,0.000000,1.570796
0.010000,40.000000,27.895894,10.148136,14.237214,9.991027,0.000000,1.570796
0.010000,40.000000,28.038765,10.291008,14.337124,9.991027,0.000000,1.570796
0.010000,40.000000,28.182636,10.434879,14.437035,9.991027,0.000000,1.570796
0.010000,40.000000,28.327506,10.579749,14.536945,9.991027,0.000000,1.570796
0.010000,40.000000,28.473375,10.725618,14.636855,9.991027,0.000000,1.570796
0.010000,40.000000,28.620243,10.872486,14.736765,9.991027,0.000000,1.570796
0.010000,40.000000,28.768110,11.020353,14.836676,9.991027,0.000000,1.570796
0.010000,40.000000,28.916977,11.169219,14.936586,9.991027,0.000000,1.570796
0.010000,40.000000,29.066842,11.319085,15.036496,9.991027,0.000000,1.570796
0.010000,40.000000,29.217707,11.469949,15.136406,9.991027,-0.000000,1.570796
0.010000,40.000000,29.369570,11.621813,15.236317,9.991027,0.000000,1.570796
0.010000,40.000000,29.522433,11.774676,15.336227,9.991027,0.000000,1.570796
0.010000,40.000000,29.676295,11.928537,15.436137,9.991027,-0.000000,1.570796
0.010000,40.000000,29.831156,12.083398,15.536048,9.991027,-0.000000,1.570796
0.010000,40.000000,29.987016,12.239258,15.635958,9.991027,0.000000,1.570796
0.010000,40.000000,30.143875,12.396117,15.735868,9.991027,0.000000,1.570796
0.010000,40.000000,30.301733,12.553976,15.835778,9.991027,-0.000000,1.570796
0.010000,40.000000,30.460590,12.712833,15.935689,9.991027,-0.000000,1.570796
0.010000,40.000000,30.620447,12.872689,16.035599,9.991027,0.000000,1.570796
0.010000,40.000000,30.781302,13.033545,16.135509,9.991027,-0.000000,1.570796
0.010000,40.000000,30.943157,13.195400,16.235419,9.991027,0.000000,1.570796
0.010000,40.000000,31.106011,13.358253,16.335330,9.991027,-0.000000,1.570796
0.010000,40.000000,31.269864,13.522106,16.435240,9.991027,0.000000,1.570796
0.010000,40.000000,31.434716,13.686958,16.535150,9.991027,-0.000000,1.570796
0.010000,40.000000,31.600567,13.852809,16.635061,9.991027,0.000000,1.570796
0.010000,40.000000,31.767417,14.019659,16.734971,9.991027,0.000000,1.570796
0.010000,40.000000,31.935266,14.187509,16.834881,9.991027,-0.000000,1.570796
0.010000,40.000000,32.104114,14.356357,16.934791,9.991027,0.000000,1.570796
0.010000,40.000000,32.273962,14.526204,17.034702,9.991027,-0.000000,1.570796
0.010000,40.000000,32.444809,14.697051,17.134612,9.991027,0.000000,1.570796
0.010000,40.000000,32.616654,14.868897,17.234522,9.991027,-0.000000,1.570796
0.010000,40.000000,32.789499,15.041741,17.334432,9.991027,0.000000,1.570796
0.010000,40.000000,32.963343,15.215585,17.434343,9.991027,-0.000000,1.570796
0.010000,40.000000,33.138186,15.390428,17.534253,9.991027,0.000000,1.570796
0.010000,40.000000,33.314028,15.566270,17.634163,9.991027,-0.000000,1.570796
0.010000,40.000000,33.490869,15.743112,17.734074,9.991027,0.000000,1.570796
0.010000,40.000000,33.668709,15.920952,17.833984,9.991027,-0.000000,1.570796
0.010000,40.000000,33.847549,16.099791,17.933894,9.991027,0.000000,1.570796
0.010000,40.000000,34.027387,16.279630,18.033804,9.991027,0.000000,1.570796
0.010000,40.000000,34.208225,16.460467,18.133715,9.991027,0.000000,1.570796
0.010000,40.000000,34.390062,16.642304,18.233625,9.991027,-0.000000,1.570796
0.010000,40.000000,34.572897,16.825140,18.333535,9.991027,0.000000,1.570796
0.010000,40.000000,34.756732,17.008975,18.433445,9.991027,0.000000,1.570796
0.010000,40.000000,34.941566,17.193809,18.533356,9.991027,0.000000,1.570796
0.010000,40.000000,35.127399,17.379642,18.633266,9.991027,-0.000000,1.570796
0.010000,40.000000,35.314232,17.566474,18.733176,9.991027,0.000000,1.570796
0.010000,40.000000,35.502063,17.754305,18.833087,9.991027,0.000000,1.570796
0.010000,40.000000,35.690893,17.943136,18.932997,9.991027,-0.000000,1.570796
0.010000,40.000000,35.880723,18.132965,19.032907,9.991027,0.000000,1.570796
0.010000,40.000000,36.071551,18.323794,19.132817,9.991027,-0.000000,1.570796
0.010000,40.000000,36.263379,18.515622,19.232728,9.991027,0.000000,1.570796
0.010000,40.000000,36.456206,18.708448,19.332638,9.991027,-0.000000,1.570796
0.010000,40.000000,36.650032,18.902274,19.432548,9.991027,0.000000,1.570796
0.010000,40.000000,36.844857,19.097099,19.532458,9.991027,0.000000,1.570796
0.010000,40.000000,37.040681,19.292924,19.632369,9.991027,-0.000000,1.570796
0.010000,40.000000,37.237504,19.489747,19.732279,9.991027,0.000000,1.570796
0.010000,40.000000,37.435327,19.687569,19.832189,9.991027,0.000000,1.570796
0.010000,40.000000,37.634148,19.886391,19.932100,9.991027,-0.000000,1.570796
0.010000,40.000000,37.833969,20.086211,20.032010,9.991027,0.000000,1.570796
0.010000,40.000000,38.034788,20.287031,20.131920,9.991027,0.000000,1.570796
